scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,53,domain,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,80,http,AWS Elastic Load Balancing,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,110,pop3,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,143,imap,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,443,http,nginx 1.28.0,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,993,imaps,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,995,pop3s,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,3306,mysql,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,3389,ms-wbt-server,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,5432,postgresql,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,8080,http-proxy,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,21,ftp,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,22,ssh,OpenSSH 8.7,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
